station_id,neighborhood,station_line,station_name,cafes,weekday_<6am,weekday_>10pm,weekend_<6am,weekend_>10pm,open_24/7,avg_rating,avg_rating_count,price_lvl_1,price_lvl_2,price_lvl_3,avg_price_lvl,avg_open_hours,neighborhood_density,storefronts,bike_routes,bikeshare_stations,bus_stops,parking_meters,parks,commercial,comprehensive_dev,industrial,residential,res_inclusive
1,Downtown,Expo,Waterfront,0.68,0.60,0.75,0.57,0.55,0.33,0.79,0.33,0.65,0.73,0.00,0.56,0.17,1.00,0.79,0.64,0.47,0.51,0.26,0.17,0.00,0.91,0.00,0.00,0.00
2,Strathcona,Expo,VCC - Clark,0.03,0.10,0.06,0.14,0.00,0.00,0.66,0.00,0.08,0.00,0.00,0.00,0.43,0.00,0.00,0.36,0.33,0.15,0.01,0.50,0.01,0.10,0.61,0.60,0.08
3,Fairview,Canada,Olympic Village,0.19,0.30,0.00,0.43,0.00,0.00,0.84,0.23,0.19,0.17,0.00,0.50,0.08,0.61,0.37,0.64,0.60,0.25,0.51,0.17,0.64,0.37,0.46,0.10,0.00
4,Mount Pleasant,Canada,Broadway - City Hall,0.30,0.20,0.19,0.29,0.18,0.00,0.79,0.21,0.27,0.20,0.00,0.46,0.06,0.58,0.51,0.55,0.67,0.29,0.64,0.00,0.72,0.25,0.20,0.42,0.00
5,Riley Park,Canada,King Edward,0.01,0.10,0.06,0.14,0.09,0.00,0.00,0.42,0.04,0.00,0.00,0.00,1.00,0.16,0.03,0.27,0.20,0.18,0.00,0.17,0.03,0.07,0.00,0.33,0.74
6,Downtown,Expo,Burrard,0.76,0.90,0.56,1.00,0.55,0.67,0.75,0.34,0.69,0.97,1.00,0.67,0.20,1.00,0.89,0.64,0.73,0.66,0.74,0.33,0.00,0.99,0.00,0.01,0.00
7,Marpole,Canada,Marine Drive,0.04,0.20,0.19,0.29,0.18,0.00,0.46,0.29,0.12,0.03,0.00,0.25,0.61,0.11,0.09,0.36,0.00,0.04,0.00,0.00,0.00,0.12,0.77,0.25,0.26
8,Downtown,Expo,Granville,1.00,1.00,1.00,1.00,1.00,0.67,0.77,0.30,1.00,1.00,1.00,0.59,0.20,1.00,1.00,0.73,1.00,1.00,0.42,0.50,0.00,0.98,0.00,0.00,0.00
9,Downtown,Expo,Stadium - Chinatown,0.45,0.10,0.50,0.14,0.64,0.67,0.88,0.66,0.42,0.47,0.50,0.62,0.13,1.00,0.61,1.00,0.67,0.44,0.37,0.67,0.00,0.89,0.00,0.00,0.00
10,Downtown,Expo,Main Street - Science World,0.12,0.30,0.13,0.43,0.27,0.67,0.63,0.83,0.12,0.13,0.00,0.57,0.63,1.00,0.15,0.91,0.33,0.14,0.05,0.83,0.42,0.45,0.45,0.00,0.11
11,Renfrew-Collingwood,Expo,29th Avenue,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.40,0.00,0.00,0.00,0.51,0.30,0.34,0.00,0.27,0.00,0.20,0.00,0.17,0.03,0.03,0.00,0.23,0.87
