station_id,cafe_count,price_level_1_count,weekday_open_early_count,weekday_close_late_count,weekend_open_early_count,weekend_close_late_count,open_24_7_count,average_weekly_operating_hours
1,68,16,15,13,8,11,1,59.9264705882353
2,3,2,2,1,2,1,0,58.333333333333336
3,19,5,4,1,7,1,0,58.473684210526315
4,30,7,4,5,7,5,0,53.333333333333336
5,1,1,1,1,1,1,0,130.0
6,76,17,22,12,12,9,2,61.81578947368421
7,4,3,2,3,2,3,0,76.0
8,100,25,25,16,13,12,2,58.43
9,45,11,5,5,5,5,3,59.666666666666664
10,12,3,3,4,3,3,2,85.25
11,0,0,0,0,0,0,0,0.0
12,4,2,0,4,0,4,0,83.0
13,2,1,2,0,1,0,0,93.5
14,6,4,3,1,3,1,0,29.0
15,8,2,1,2,3,2,1,80.75
16,76,16,15,14,8,11,1,58.55263157894737
17,73,21,18,14,10,11,3,66.3013698630137
18,7,2,1,2,3,2,1,82.0
19,22,6,3,5,6,5,1,64.4090909090909
20,2,0,1,1,1,1,0,68.5
21,2,1,0,1,0,1,0,72.5
22,0,0,0,0,0,0,0,0.0
23,5,1,0,0,0,0,0,53.0
24,22,2,2,9,5,7,0,67.18181818181819
25,31,7,5,5,8,5,0,58.32258064516129
26,20,5,8,5,5,4,0,59.4
27,15,5,4,3,3,3,0,58.06666666666667
28,19,5,0,1,2,1,0,58.36842105263158
